MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202408.0,2024-08-01,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.091936
202408.0,2024-08-02,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.079733
202408.0,2024-08-03,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.076555
202408.0,2024-08-04,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.05367
202408.0,2024-08-05,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.091272
202408.0,2024-08-06,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.105797
202408.0,2024-08-07,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.080909
202408.0,2024-08-08,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.0901
202408.0,2024-08-09,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.0800319999999999
202408.0,2024-08-10,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.077551
202408.0,2024-08-11,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.05349
202408.0,2024-08-12,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.092913
202408.0,2024-08-13,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.105111
202408.0,2024-08-14,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.081989
202408.0,2024-08-15,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.088272
202408.0,2024-08-16,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.080357
202408.0,2024-08-17,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.076427
202408.0,2024-08-18,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.053381
202408.0,2024-08-19,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.091862
202408.0,2024-08-20,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.106081
202408.0,2024-08-21,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.081415
202408.0,2024-08-22,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.090173
202408.0,2024-08-23,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.080152
202408.0,2024-08-24,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.07699
202408.0,2024-08-25,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.053711
202408.0,2024-08-26,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.091966
202408.0,2024-08-27,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.105913
202408.0,2024-08-28,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.081493
202408.0,2024-08-29,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.089538
202408.0,2024-08-30,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.08036
202408.0,2024-08-31,108088.0,FUNDACAO PIO XII - SVO,Consumidor Especial,SUDESTE,0.8639999999999999,0.077158
